# version: 20210217						
# author: hhliow (github.com/hhliow)						
# license: cc by-nc-sa 4.0						
index	廣韻小韻	middle_chinese	Baxter_transcription	中州音(IPA)	中州音	推導國音
225	蘬	止合三平微溪	khjw+j	kʰui	ㄎㄨㄟ	ㄎㄨㄟ
226	魚	遇開三平魚疑	ngjo	(ŋ)y˩	꜁(ㄫ)ㄩ	꜁(ㄫ)ㄩ
227	初	遇開三平魚初	tsrhjo	ʈʂʰu	ㄔㄨ	ㄔㄨ
228	書	遇開三平魚書	syo	ʃy	ㄕㄩ	ㄕㄨ
229	居	遇開三平魚見	kjo	ky	ㄐㄩ	ㄐㄩ
230	渠	遇開三平魚羣	gjo	kʱy˩	꜁ㄑㄩ	꜁ㄑㄩ
231	余	遇開三平魚以	yo	jy˩	꜁ㄩ	꜁ㄩ
232	胥	遇開三平魚心	sjo	sy	ㄙㄩ	ㄙㄩ
233	疽	遇開三平魚清	tshjo	tsʰy	ㄘㄩ	ㄘㄩ
234	鉏	遇開三平魚崇	dzrjo	ʈʂʱu˩	꜁ㄔㄨ	꜁ㄔㄨ
235	攄	遇開三平魚徹	trhjo	tʃʰy	ㄔㄩ	ㄔㄨ
236	䟽	遇開三平魚生	srjo	ʂu	ㄕㄨ	ㄕㄨ
237	虚	遇開三平魚曉	xjo	hy	ㄒㄩ	ㄒㄩ
238	徐	遇開三平魚邪	zjo	sʱy˩	꜁ㄙㄩ	꜁ㄙㄩ
239	於	遇開三平魚影	’jo	ʔy	ㄩ	ㄩ
240	豬	遇開三平魚知	trjo	tʃy	ㄓㄩ	ㄓㄨ
241	臚	遇開三平魚來	ljo	ly˩	꜁ㄌㄩ	꜁ㄌㄩ
242	諸	遇開三平魚章	tsyo	tʃy	ㄓㄩ	ㄓㄨ
243	除	遇開三平魚澄	drjo	tʃʱy˩	꜁ㄔㄩ	꜁ㄔㄨ
244	如	遇開三平魚日	nyo	ʒy˩	꜁ㄖㄩ	꜁ㄖㄨ
245	且	遇開三平魚精	tsjo	tsy	ㄗㄩ	ㄗㄩ
246	虚	遇開三平魚溪	khjo	kʰy	ㄑㄩ	ㄑㄩ
247	菹	遇開三平魚莊	tsrjo	ʈʂu/tsy	ㄓㄨ/ㄗㄩ	ㄗㄨ
248	蜍	遇開三平魚常	dzyo	ʃʱy˩/tʃʱy˩	꜁ㄕㄩ/꜁ㄔㄩ	꜁ㄕㄨ
249	袽	遇開三平魚孃	nrjo	ny˩	꜁ㄋㄩ	꜁ㄋㄩ
250	虞	遇合三平虞疑	ngju	(ŋ)y˩	꜁(ㄫ)ㄩ	꜁(ㄫ)ㄩ
251	芻	遇合三平虞初	tsrhju	ʈʂʰu	ㄔㄨ	ㄔㄨ
252	無	遇合三平虞明	mju	vu˩	꜁ㄪㄨ	꜁ㄪㄨ
253	于	遇合三平虞云	hju	jy˩	꜁ㄩ	꜁ㄩ
254	訏	遇合三平虞曉	xju	hy	ㄒㄩ	ㄒㄩ
255	衢	遇合三平虞羣	gju	kʱy˩	꜁ㄑㄩ	꜁ㄑㄩ
256	儒	遇合三平虞日	nyu	ʒy˩	꜁ㄖㄩ	꜁ㄖㄨ
257	須	遇合三平虞心	sju	sy	ㄙㄩ	ㄙㄩ
258	株	遇合三平虞知	trju	tʃy	ㄓㄩ	ㄓㄨ
259	貙	遇合三平虞徹	trhju	tʃʰy	ㄔㄩ	ㄔㄨ
260	殊	遇合三平虞常	dzyu	ʃʱy˩	꜁ㄕㄩ	꜁ㄕㄨ
261	逾	遇合三平虞以	yu	jy˩	꜁ㄩ	꜁ㄩ
262	區	遇合三平虞溪	khju	kʰy	ㄑㄩ	ㄑㄩ
263	朱	遇合三平虞章	tsyu	tʃy	ㄓㄩ	ㄓㄨ
264	趨	遇合三平虞清	tshju	tsʰy	ㄘㄩ	ㄘㄩ
